fdc_id,english_name,russian_name,1003,1004,1005,1008,1018,1051,1057,1058,1079,1087,1089,1090,1091,1092,1093,1095,1098,1103,1105,1106,1107,1108,1109,1114,1120,1122,1123,1162,1165,1166,1167,1175,1177,1178,1180,1185,1186,1187,1190,1242,1246,1253,1258,1259,1260,1261,1262,1263,1264,1265,1266,1268,1269,1270,1271,1272,1275,1276,1277,1278,1279,1280,1292,1293,2000
1097520,"Milk, low fat (1%)",,3.38,0.95,5.19,43,0.0,89.7,0,0,0.0,126,0.0,12,103,159,39,0.43,0.001,2.1,58,58,1,0,0.02,1.1,0,0,0,0.0,0.057,0.14,0.113,0.06,2,0.61,17.4,0.1,0,2,2,0.0,0.0,5,0.568,0.022,0.015,0.011,0.023,0.026,0.093,0.265,0.096,0.214,0.033,0.004,0.001,0.0,0.014,0.0,0.001,0.0,0.0,0.0,0.21,0.032,4.96
1097521,"Milk, fat free (skim)",,3.43,0.08,4.89,34,0.0,90.8,0,0,0.0,132,0.0,12,107,167,41,0.45,0.002,2.0,64,64,2,0,0.0,1.1,0,0,0,0.0,0.056,0.131,0.118,0.058,2,0.58,18.2,0.0,0,2,2,0.0,0.0,3,0.049,0.003,0.001,0.001,0.002,0.002,0.008,0.021,0.009,0.018,0.005,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.017,0.006,5.05
1097522,"Milk, lactose free, low fat (1%)",,3.38,0.95,5.19,43,0.0,89.7,0,0,0.0,126,0.0,12,103,159,39,0.43,0.001,2.1,58,58,1,0,0.02,1.1,0,0,0,0.0,0.057,0.14,0.113,0.06,2,0.61,17.4,0.1,0,2,2,0.0,0.0,5,0.568,0.022,0.015,0.011,0.023,0.026,0.093,0.265,0.096,0.214,0.033,0.004,0.001,0.0,0.014,0.0,0.001,0.0,0.0,0.0,0.21,0.032,4.96
1097523,"Milk, lactose free, fat free (skim)",,3.43,0.08,4.89,34,0.0,90.8,0,0,0.0,132,0.0,12,107,167,41,0.45,0.002,2.0,64,64,2,0,0.0,1.1,0,0,0,0.0,0.056,0.131,0.118,0.058,2,0.58,18.2,0.0,0,2,2,0.0,0.0,3,0.049,0.003,0.001,0.001,0.002,0.002,0.008,0.021,0.009,0.018,0.005,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.017,0.006,5.05
1097524,"Milk, lactose free, reduced fat (2%)",,3.35,1.9,4.91,50,0.0,89.1,0,0,0.0,126,0.0,12,103,159,39,0.43,0.001,1.8,83,83,3,0,0.03,1.1,0,0,0,0.2,0.059,0.137,0.112,0.061,2,0.55,18.2,0.2,0,2,2,0.0,0.0,8,1.11,0.041,0.032,0.021,0.049,0.058,0.181,0.512,0.184,0.41,0.061,0.007,0.003,0.0,0.029,0.0,0.002,0.0,0.0,0.001,0.4,0.058,4.89
1097525,"Milk, lactose free, whole",,3.28,3.2,4.67,60,0.0,88.1,0,0,0.0,123,0.0,12,101,150,38,0.41,0.001,1.9,31,32,7,0,0.05,1.1,0,0,0,0.0,0.056,0.138,0.105,0.061,0,0.54,17.8,0.3,0,0,0,0.0,0.0,12,1.86,0.067,0.054,0.034,0.084,0.097,0.303,0.857,0.309,0.694,0.115,0.012,0.004,0.0,0.047,0.0,0.004,0.001,0.0,0.002,0.688,0.108,4.81
1097526,"Buttermilk, fat free (skim)",,3.31,1.07,4.79,40,0.0,90.13,0,0,0.0,116,0.05,11,89,151,148,0.42,0.011,2.0,13,14,1,0,0.05,0.0,0,0,0,1.0,0.034,0.154,0.058,0.034,5,0.22,17.7,0.1,0,5,5,0.0,0.0,4,0.66,0.029,0.017,0.01,0.022,0.025,0.089,0.231,0.107,0.221,0.02,0.013,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.254,0.033,4.79
1097527,"Buttermilk, low fat (1%)",,3.31,1.07,4.79,40,0.0,90.13,0,0,0.0,116,0.05,11,89,151,148,0.42,0.011,2.0,13,14,1,0,0.05,0.0,0,0,0,1.0,0.034,0.154,0.058,0.034,5,0.22,17.7,0.1,0,5,5,0.0,0.0,4,0.66,0.029,0.017,0.01,0.022,0.025,0.089,0.231,0.107,0.221,0.02,0.013,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.254,0.033,4.79
1097528,"Buttermilk, reduced fat (2%)",,4.1,2.0,5.3,56,0.0,87.7,0,0,0.0,143,0.06,13,82,180,105,0.24,0.008,2.3,16,16,3,0,0.11,0.0,0,0,0,1.5,0.05,0.21,0.1,0.03,6,0.37,16.0,0.1,0,6,6,0.0,0.0,8,1.242,0.061,0.04,0.02,0.051,0.061,0.202,0.525,0.242,0.505,0.04,0.03,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.576,0.071,5.3
1097529,"Buttermilk, whole",,3.21,3.31,4.88,62,0.0,87.91,0,0,0.0,115,0.03,10,85,135,105,0.38,0.025,3.7,46,47,7,0,0.07,1.3,0,0,0,0.0,0.047,0.172,0.09,0.036,5,0.46,14.6,0.3,0,5,5,0.0,0.0,11,1.899,0.076,0.076,0.076,0.076,0.078,0.302,0.844,0.371,0.827,0.122,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.827,0.198,4.88
1097530,"Kefir, NS as to fat content",,3.59,0.96,7.48,52,0.0,87.26,0,0,0.0,124,0.04,12,100,159,38,0.45,0.009,3.6,174,174,2,0,0.04,1.0,0,0,0,0.8,0.03,0.172,0.128,0.059,18,0.3,15.2,0.6,0,18,18,0.0,0.0,5,0.596,0.027,0.016,0.007,0.02,0.026,0.094,0.28,0.106,0.252,0.038,0.006,0.002,0.0,0.019,0.0,0.004,0.0,0.0,0.001,0.286,0.047,6.91
1097531,"Goat's milk, whole",,3.56,4.14,4.45,69,0.0,87.03,0,0,0.0,134,0.05,14,111,204,50,0.3,0.046,1.4,56,57,7,0,0.07,1.3,0,0,0,1.3,0.048,0.138,0.277,0.046,1,0.07,16.0,0.3,0,1,1,0.0,0.0,11,2.667,0.128,0.094,0.096,0.26,0.124,0.325,0.911,0.441,0.977,0.109,0.04,0.0,0.0,0.082,0.0,0.0,0.0,0.0,0.0,1.109,0.149,4.45
1097532,"Milk, dry, reconstituted, NS as to fat content",,3.2,0.07,4.6,32,0.0,91.34,0,0,0.0,114,0.03,11,86,159,51,0.37,0.013,2.4,58,58,0,0,0.0,1.0,0,0,0,0.6,0.037,0.137,0.084,0.032,4,0.36,15.0,0.0,0,4,4,0.0,0.0,2,0.044,0.002,0.001,0.001,0.002,0.001,0.007,0.021,0.008,0.015,0.002,0.001,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.018,0.003,4.6
1097533,"Milk, dry, reconstituted, whole",,4.01,4.08,5.86,76,0.0,85.04,0,0,0.0,142,0.07,14,118,203,60,0.52,0.021,2.5,39,39,8,0,0.09,1.6,0,0,0,1.3,0.043,0.184,0.099,0.046,6,0.5,18.2,0.3,0,6,6,0.0,0.0,15,2.554,0.132,0.037,0.041,0.091,0.094,0.43,1.147,0.435,0.945,0.07,0.031,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,1.209,0.101,5.86
1097534,"Milk, dry, reconstituted, low fat (1%)",,3.17,1.01,4.55,40,0.0,90.48,0,0,0.0,113,0.03,11,85,157,51,0.37,0.013,2.4,65,65,2,0,0.03,1.0,0,0,0,0.6,0.036,0.136,0.083,0.032,4,0.35,15.0,0.1,0,4,4,0.0,0.0,4,0.633,0.033,0.019,0.011,0.025,0.028,0.103,0.27,0.122,0.253,0.023,0.015,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.291,0.038,4.55
1097535,"Milk, dry, reconstituted, fat free (skim)",,3.2,0.07,4.6,32,0.0,91.34,0,0,0.0,114,0.03,11,86,159,51,0.37,0.013,2.4,1,1,0,0,0.0,0.0,0,0,0,0.6,0.037,0.137,0.084,0.032,4,0.36,15.0,0.0,0,4,4,0.0,0.0,2,0.044,0.002,0.001,0.001,0.002,0.001,0.007,0.021,0.008,0.015,0.002,0.001,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.018,0.003,4.6
1097536,"Milk, evaporated, NS as to fat content ",,6.81,7.56,10.04,134,0.0,74.04,0,0,0.0,261,0.19,24,203,303,106,0.77,0.016,2.3,64,65,12,0,0.14,2.0,0,0,0,1.9,0.047,0.316,0.194,0.05,8,0.16,31.8,0.5,0,8,8,0.0,0.0,29,4.591,0.195,0.134,0.054,0.11,0.161,0.733,2.027,0.921,2.101,0.167,0.078,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,2.335,0.245,10.04
1097537,"Milk, evaporated, whole ",,6.81,7.56,10.04,134,0.0,74.04,0,0,0.0,261,0.19,24,203,303,106,0.77,0.016,2.3,64,65,12,0,0.14,2.0,0,0,0,1.9,0.047,0.316,0.194,0.05,8,0.16,31.8,0.5,0,8,8,0.0,0.0,29,4.591,0.195,0.134,0.054,0.11,0.161,0.733,2.027,0.921,2.101,0.167,0.078,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,2.335,0.245,10.04
1097538,"Milk, evaporated, reduced fat (2%)",,7.42,1.96,11.15,92,0.0,78.0,0,0,0.0,285,0.28,27,192,326,113,0.88,0.016,2.5,130,131,3,0,0.05,2.0,0,0,0,1.2,0.044,0.304,0.171,0.054,9,0.24,25.1,0.2,0,9,9,0.0,0.0,8,1.214,0.062,0.038,0.021,0.047,0.053,0.196,0.516,0.237,0.498,0.044,0.028,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.569,0.071,11.15
